id,nb_fans,name,picture
"246791","21862393","Drake","https://e-cdns-images.dzcdn.net/images/artist/5d2fa7f140a6bdc2c864c3465a61fc71/250x250-000000-80-0-0.jpg"
"384236","18170531","Ed Sheeran","https://e-cdns-images.dzcdn.net/images/artist/9c919fc0d8b2964ed63061f5bfa5a11f/250x250-000000-80-0-0.jpg"
"542","18013154","David Guetta","https://e-cdns-images.dzcdn.net/images/artist/e21bc6e42211c589982c2d7994cd53f4/250x250-000000-80-0-0.jpg"
"13","15348153","Eminem","https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/250x250-000000-80-0-0.jpg"
"892","15220709","Coldplay","https://e-cdns-images.dzcdn.net/images/artist/e65d62ecd00b8bf1ba89073943ac62a1/250x250-000000-80-0-0.jpg"
"564","15086842","Rihanna","https://e-cdns-images.dzcdn.net/images/artist/7d514d87a45a59d6094e028d750f3039/250x250-000000-80-0-0.jpg"
"75798","12609750","Adele","https://e-cdns-images.dzcdn.net/images/artist/e5fc443d2abc03b487234ba4de65a001/250x250-000000-80-0-0.jpg"
"1562681","11499207","Ariana Grande","https://e-cdns-images.dzcdn.net/images/artist/3b99aa38bc4f58b05d6671c918eeb03e/250x250-000000-80-0-0.jpg"
"12178","11474052","Calvin Harris","https://e-cdns-images.dzcdn.net/images/artist/5409ae27c19f5008a7b6d724bee189ff/250x250-000000-80-0-0.jpg"
"719","11139403","Bob Marley & The Wailers","https://e-cdns-images.dzcdn.net/images/artist/c8241e15efdefa9465c7b470643efb3b/250x250-000000-80-0-0.jpg"
"7068771","11032041","Marília Mendonça","https://e-cdns-images.dzcdn.net/images/artist/0e2f0b185fa2eef93a490f40d13d269f/250x250-000000-80-0-0.jpg"
"145","10951264","Beyoncé","https://e-cdns-images.dzcdn.net/images/artist/6203637647172f2323ce340c24219d39/250x250-000000-80-0-0.jpg"
"259","10315916","Michael Jackson","https://e-cdns-images.dzcdn.net/images/artist/86b13342a65ffe06fa151ce353a7b278/250x250-000000-80-0-0.jpg"
"4050205","10216412","The Weeknd","https://e-cdns-images.dzcdn.net/images/artist/bd3f01a27e692074ed40bf8755b06afe/250x250-000000-80-0-0.jpg"
"412","10172230","Queen","https://e-cdns-images.dzcdn.net/images/artist/0b17b99897d17ceb7027ed57cdbb7044/250x250-000000-80-0-0.jpg"
"1188","10134832","Maroon 5","https://e-cdns-images.dzcdn.net/images/artist/87b78013cc705abb6afb7b83a2276e1f/250x250-000000-80-0-0.jpg"
"92","10056863","Linkin Park","https://e-cdns-images.dzcdn.net/images/artist/4eb6517a096da2ccd8768f1513593cb8/250x250-000000-80-0-0.jpg"
"160","10011955","Shakira","https://e-cdns-images.dzcdn.net/images/artist/69c569506a8ff6ab0edfecbd1adf94b0/250x250-000000-80-0-0.jpg"
"288166","9886958","Justin Bieber","https://e-cdns-images.dzcdn.net/images/artist/22dd86b628a03d8dad3c7dfb33320a91/250x250-000000-80-0-0.jpg"
"4860761","9726012","J Balvin","https://e-cdns-images.dzcdn.net/images/artist/330420f615ec0c189bf9c729316f1558/250x250-000000-80-0-0.jpg"
"429675","9712174","Bruno Mars","https://e-cdns-images.dzcdn.net/images/artist/7f3c0956357c326b2db2cf436f1dc8c5/250x250-000000-80-0-0.jpg"
"12246","9071811","Taylor Swift","https://e-cdns-images.dzcdn.net/images/artist/24eb277736e1295a548e683b584caa6a/250x250-000000-80-0-0.jpg"
"3881631","8806890","Jorge & Mateus","https://e-cdns-images.dzcdn.net/images/artist/18b811f5b9bac7241958b29682cae546/250x250-000000-80-0-0.jpg"
"144227","8574839","Katy Perry","https://e-cdns-images.dzcdn.net/images/artist/f8a978f52348bf28c8cc5be1b8ad496b/250x250-000000-80-0-0.jpg"
"115","8224783","AC/DC","https://e-cdns-images.dzcdn.net/images/artist/ad61d6e0fa724d880db979c9ac8cc5e3/250x250-000000-80-0-0.jpg"
"102","8086404","Chris Brown","https://e-cdns-images.dzcdn.net/images/artist/ed15b84067164aa25701fdd30cc34d33/250x250-000000-80-0-0.jpg"
"293585","7596618","Avicii","https://e-cdns-images.dzcdn.net/images/artist/82e214b0cb39316f4a12a082fded54f6/250x250-000000-80-0-0.jpg"
"1424602","7477698","Maluma","https://e-cdns-images.dzcdn.net/images/artist/e626bd0c873cc551602e4efb3d5f4bdc/250x250-000000-80-0-0.jpg"
"3469","7460066","Sia","https://e-cdns-images.dzcdn.net/images/artist/12e3483ed6efd64bcc90f7afad2015c8/250x250-000000-80-0-0.jpg"
"282118","7403557","Major Lazer","https://e-cdns-images.dzcdn.net/images/artist/847e0144bf03cd9240e01a16f3baed73/250x250-000000-80-0-0.jpg"
"4876653","7168615","Henrique & Juliano","https://e-cdns-images.dzcdn.net/images/artist/439d0e35b1c2269ede25e3f30aae8f4c/250x250-000000-80-0-0.jpg"
"3968561","7159692","Martin Garrix","https://e-cdns-images.dzcdn.net/images/artist/c53b684dc60abbde2a50afe9a524c863/250x250-000000-80-0-0.jpg"
"75491","6954814","Lady Gaga","https://e-cdns-images.dzcdn.net/images/artist/83110025016968b8882a1c92a3284a6b/250x250-000000-80-0-0.jpg"
"8706544","6930902","Dua Lipa","https://e-cdns-images.dzcdn.net/images/artist/e6a04d735093a46dcc8be197681d1199/250x250-000000-80-0-0.jpg"
"416239","6925946","Imagine Dragons","https://e-cdns-images.dzcdn.net/images/artist/a9087f289c3bd826eb8c8bd48cd11f1e/250x250-000000-80-0-0.jpg"
"3","6834087","Snoop Dogg","https://e-cdns-images.dzcdn.net/images/artist/a423dd42b7394eeacc882be8ac633eee/250x250-000000-80-0-0.jpg"
"776","6698411","Pitbull","https://e-cdns-images.dzcdn.net/images/artist/f755bcad19948129e670598a52d3f874/250x250-000000-80-0-0.jpg"
"119","6669155","Metallica","https://e-cdns-images.dzcdn.net/images/artist/b4719bc7a0ddb4a5be41277f37856ae6/250x250-000000-80-0-0.jpg"
"1","6620012","The Beatles","https://e-cdns-images.dzcdn.net/images/artist/895c65537c74c2014b459f73e84bccb0/250x250-000000-80-0-0.jpg"
"17","6593966","Usher","https://e-cdns-images.dzcdn.net/images/artist/b1df32ef291e7a09cedcb7aa394c60fe/250x250-000000-80-0-0.jpg"
"382937","6581165","Nicki Minaj","https://e-cdns-images.dzcdn.net/images/artist/a5693f3760b4543cf084c6330328b780/250x250-000000-80-0-0.jpg"
"193875","6574922","Demi Lovato","https://e-cdns-images.dzcdn.net/images/artist/c9a0dc09de852bea6bead45e4fb7643d/250x250-000000-80-0-0.jpg"
"74804","6573627","Wiz Khalifa","https://e-cdns-images.dzcdn.net/images/artist/a1dc970ad2ad6afa42580c692b8a8a8d/250x250-000000-80-0-0.jpg"
"66","6563008","50 Cent","https://e-cdns-images.dzcdn.net/images/artist/58da3cca2d598e43c7a7823cf75277e5/250x250-000000-80-0-0.jpg"
"3839","6465064","Daddy Yankee","https://e-cdns-images.dzcdn.net/images/artist/5f45206580cde1388f71ccc7f8226768/250x250-000000-80-0-0.jpg"
"4390053","6452772","Anitta","https://e-cdns-images.dzcdn.net/images/artist/f06b3a644be9939c7875f1782fe4fb06/250x250-000000-80-0-0.jpg"
"1541592","6290581","Gusttavo Lima","https://e-cdns-images.dzcdn.net/images/artist/cac3ec4786f8be6dedf24233149db49d/250x250-000000-80-0-0.jpg"
"12436","6245683","Miley Cyrus","https://e-cdns-images.dzcdn.net/images/artist/26b19cf18df01c0664e8f0806b173bda/250x250-000000-80-0-0.jpg"
"9635624","6210580","Billie Eilish","https://e-cdns-images.dzcdn.net/images/artist/8b6e535e08ad7c5cb312102a5ede6c1e/250x250-000000-80-0-0.jpg"
"1147","6170627","Justin Timberlake","https://e-cdns-images.dzcdn.net/images/artist/7c2c076d891f64a039b572fea7df3b96/250x250-000000-80-0-0.jpg"
"5962948","6070574","Shawn Mendes","https://e-cdns-images.dzcdn.net/images/artist/7432efa1fc1d9a1c5a7049512792b9fc/250x250-000000-80-0-0.jpg"
"15691","6035071","Nicky Jam","https://e-cdns-images.dzcdn.net/images/artist/934ee7dbe7ea54459294cfdc6d75e153/250x250-000000-80-0-0.jpg"
"163","6033089","U2","https://e-cdns-images.dzcdn.net/images/artist/edc3ee765289d41a98fde2fafa78f0fa/250x250-000000-80-0-0.jpg"
"1191615","5899502","Jul","https://e-cdns-images.dzcdn.net/images/artist/bc62caffd1b9a8f721234722cf715fff/250x250-000000-80-0-0.jpg"
"311820","5879213","Ellie Goulding","https://e-cdns-images.dzcdn.net/images/artist/5c824c50f3d8befaac53c64abc7416f8/250x250-000000-80-0-0.jpg"
"11","5807681","The Rolling Stones","https://e-cdns-images.dzcdn.net/images/artist/2ceac184bc846327f60c5b0d4247cc7a/250x250-000000-80-0-0.jpg"
"45","5792070","Jennifer Lopez","https://e-cdns-images.dzcdn.net/images/artist/2fa1c95948cf111e38aed58b64b49556/250x250-000000-80-0-0.jpg"
"2792","5652427","Enrique Iglesias","https://e-cdns-images.dzcdn.net/images/artist/7c0f867fb50b6c9302f991521e42e764/250x250-000000-80-0-0.jpg"
"860","5540361","Pink Floyd","https://e-cdns-images.dzcdn.net/images/artist/b4f3b167b3ea91f2fe43bf4bae7cc272/250x250-000000-80-0-0.jpg"
"10583405","5463304","Bad Bunny","https://e-cdns-images.dzcdn.net/images/artist/f21443a563e5d03ddf83ed1e6a12d581/250x250-000000-80-0-0.jpg"
"4104927","5390166","The Chainsmokers","https://e-cdns-images.dzcdn.net/images/artist/df6be3970a5d859380178c003c656141/250x250-000000-80-0-0.jpg"
"482758","5366115","DJ Snake","https://e-cdns-images.dzcdn.net/images/artist/02b4b508aa974d5f6e8348e2186dd49f/250x250-000000-80-0-0.jpg"
"1020109","5305496","Black Eyed Peas","https://e-cdns-images.dzcdn.net/images/artist/5ee425b0025907ba079cf84095ec1888/250x250-000000-80-0-0.jpg"
"74309","5267738","Lil Wayne","https://e-cdns-images.dzcdn.net/images/artist/2342b756645ad50f80215785d218bca8/250x250-000000-80-0-0.jpg"
"249599","5232812","Jason Derulo","https://e-cdns-images.dzcdn.net/images/artist/955a40075bfd5d5501f266bd0cc79381/250x250-000000-80-0-0.jpg"
"5542343","5215106","Ninho","https://e-cdns-images.dzcdn.net/images/artist/8d617eb4f641d50d319920c9852195e4/250x250-000000-80-0-0.jpg"
"35","5166243","Avril Lavigne","https://e-cdns-images.dzcdn.net/images/artist/d023a1ee7ed842b304f36aef210c5aba/250x250-000000-80-0-0.jpg"
"228","5157622","Alicia Keys","https://e-cdns-images.dzcdn.net/images/artist/1d13e590f0ed6d4e021c338809fe0d34/250x250-000000-80-0-0.jpg"
"390","5023688","Booba","https://e-cdns-images.dzcdn.net/images/artist/38b687e97c6874e744d305ef2ca8d0d0/250x250-000000-80-0-0.jpg"
"985109","4827574","Jessie J","https://e-cdns-images.dzcdn.net/images/artist/f55f3bbaacb5db78e0603ec55a221e12/250x250-000000-80-0-0.jpg"
"525046","4774902","Kendrick Lamar","https://e-cdns-images.dzcdn.net/images/artist/b0f016efccad94e838c6bff3fe758db6/250x250-000000-80-0-0.jpg"
"483","4764913","Britney Spears","https://e-cdns-images.dzcdn.net/images/artist/caea45732bb52679494602c60430435a/250x250-000000-80-0-0.jpg"
"292185","4756471","Selena Gomez","https://e-cdns-images.dzcdn.net/images/artist/e963ffe19a2424a9d8ce44f88e9a09ad/250x250-000000-80-0-0.jpg"
"1097709","4747329","Sam Smith","https://e-cdns-images.dzcdn.net/images/artist/d42e724e123eb5c97865bc117c936d38/250x250-000000-80-0-0.jpg"
"458","4741449","System of a Down","https://e-cdns-images.dzcdn.net/images/artist/67460cdb0b52bfde1b807650958058d6/250x250-000000-80-0-0.jpg"
"1005","4501245","Aerosmith","https://e-cdns-images.dzcdn.net/images/artist/bcd4360759ccdbbe9a1b1f1adf288962/250x250-000000-80-0-0.jpg"
"52","4421650","Green Day","https://e-cdns-images.dzcdn.net/images/artist/ea15e157c48dd7cc28f3e1fe3ac029a8/250x250-000000-80-0-0.jpg"
"64333","4393415","Flo Rida","https://e-cdns-images.dzcdn.net/images/artist/99386bbd6963abb7da4f713c8a6411ff/250x250-000000-80-0-0.jpg"
"705","4380062","Muse","https://e-cdns-images.dzcdn.net/images/artist/cd7c5861be0009d3b75d4d3c069317a7/250x250-000000-80-0-0.jpg"
"38","4322927","Akon","https://e-cdns-images.dzcdn.net/images/artist/dafed3b722037eba7b0c015d47f62e7c/250x250-000000-80-0-0.jpg"
"637","4322916","Bon Jovi","https://e-cdns-images.dzcdn.net/images/artist/d5520eed28967b763a56f9f6616bf3a8/250x250-000000-80-0-0.jpg"
"5895828","4280586","Zé Neto & Cristiano","https://e-cdns-images.dzcdn.net/images/artist/100bc0927a9f152d2a9d85c169fe1901/250x250-000000-80-0-0.jpg"
"27","4266021","Daft Punk","https://e-cdns-images.dzcdn.net/images/artist/f2bc007e9133c946ac3c3907ddc5d2ea/250x250-000000-80-0-0.jpg"
"4937383","4210713","Ozuna","https://e-cdns-images.dzcdn.net/images/artist/fabc79657a5236b997ea255fbbbc68b8/250x250-000000-80-0-0.jpg"
"4429712","4158315","GIMS","https://e-cdns-images.dzcdn.net/images/artist/6368acdb06aa5f897e29fe910fed75bc/250x250-000000-80-0-0.jpg"
"167225","4154592","LMFAO","https://e-cdns-images.dzcdn.net/images/artist/6d8cf808973d0b6570d0b7acc27bb686/250x250-000000-80-0-0.jpg"
"290","4150850","Madonna","https://e-cdns-images.dzcdn.net/images/artist/c5f0fb78a2d918126211b2d0b33ff36a/250x250-000000-80-0-0.jpg"
"566","3970877","Foo Fighters","https://e-cdns-images.dzcdn.net/images/artist/54c324b8651addd8c400de22f9dac5c8/250x250-000000-80-0-0.jpg"
"1000956","3958113","Clean Bandit","https://e-cdns-images.dzcdn.net/images/artist/f305de60e321bbc56de18da0d6d63231/250x250-000000-80-0-0.jpg"
"1424821","3946993","Lana Del Rey","https://e-cdns-images.dzcdn.net/images/artist/df76fa73a458af753cbe9e5ae64a33cd/250x250-000000-80-0-0.jpg"
"230","3889512","Kanye West","https://e-cdns-images.dzcdn.net/images/artist/bb76c2ee3b068726ab4c37b0aabdb57a/250x250-000000-80-0-0.jpg"
"1182","3887664","Arctic Monkeys","https://e-cdns-images.dzcdn.net/images/artist/9886f58e9ec2227a595afe3af923ec2f/250x250-000000-80-0-0.jpg"
"1644275","3874338","Thiaguinho","https://e-cdns-images.dzcdn.net/images/artist/39d651f0c274e89317a1aeb510a7a5e6/250x250-000000-80-0-0.jpg"
"280627","3857105","Kesha","https://e-cdns-images.dzcdn.net/images/artist/daeb248244cae9f2b6f7fb814683d1d9/250x250-000000-80-0-0.jpg"
"1264078","3848692","Luan Santana","https://e-cdns-images.dzcdn.net/images/artist/b938022dc10c8abf9089a6f64edb62e3/250x250-000000-80-0-0.jpg"
"849","3765832","Jimi Hendrix","https://e-cdns-images.dzcdn.net/images/artist/2deec542fc75d5691434c407ee077ff7/250x250-000000-80-0-0.jpg"
"4611283","3760870","Wesley Safadão","https://e-cdns-images.dzcdn.net/images/artist/efb5e7cb40804487ac1ac02249f07017/250x250-000000-80-0-0.jpg"
"763","3748592","Dr. Dre","https://e-cdns-images.dzcdn.net/images/artist/224c6dfad8137d13e41e045310b23ccb/250x250-000000-80-0-0.jpg"
"74398","3746441","OneRepublic","https://e-cdns-images.dzcdn.net/images/artist/d085c55df9e089015e79bea1a064f8fc/250x250-000000-80-0-0.jpg"
"69925","3744391","P!nk","https://e-cdns-images.dzcdn.net/images/artist/874ede04c616a86dcaf793aa3283ca63/250x250-000000-80-0-0.jpg"
